"ID","Continent","LocX","LocY","LocZ","AreaName_Lang_enUS","AreaName_Lang_enGB","AreaName_Lang_koKR","AreaName_Lang_frFR","AreaName_Lang_deDE","AreaName_Lang_enCN","AreaName_Lang_zhCN","AreaName_Lang_enTW","AreaName_Lang_zhTW","AreaName_Lang_esES","AreaName_Lang_esMX","AreaName_Lang_ruRU","AreaName_Lang_ptPT","AreaName_Lang_ptBR","AreaName_Lang_itIT","AreaName_Lang_Unk","AreaName_Lang_Mask"
"963","530","-668","1516","17","Hellfire Peninsula, Corpse Location 023","Hellfire Peninsula, Corpse Location 023","Péninsule des Flammes infernales, position de cadavre 023","Höllenfeuerhalbinsel, Leichenfundort 023","","","Península del Fuego Infernal, ubicación de cadáver 023","Península del Fuego Infernal, ubicación de cadáver 023","Полуостров Адского Пламени, местонахождение тела 023","","","","","","","","16712190"
"964","530","-1278","1381","9","Hellfire Peninsula, Corpse Location 024","Hellfire Peninsula, Corpse Location 024","Péninsule des Flammes infernales, position de cadavre 024","Höllenfeuerhalbinsel, Leichenfundort 024","","","Península del Fuego Infernal, ubicación de cadáver 024","Península del Fuego Infernal, ubicación de cadáver 024","Полуостров Адского Пламени, местонахождение тела 024","","","","","","","","16712190"
"965","530","-1306","2478","56","Hellfire Peninsula, Corpse Location 025","Hellfire Peninsula, Corpse Location 025","Péninsule des Flammes infernales, position de cadavre 025","Höllenfeuerhalbinsel, Leichenfundort 025","","","Península del Fuego Infernal, ubicación de cadáver 025","Península del Fuego Infernal, ubicación de cadáver 025","Полуостров Адского Пламени, местонахождение тела 025","","","","","","","","16712190"
"966","530","-1497","2657","-53","Hellfire Peninsula, Corpse Location 026","Hellfire Peninsula, Corpse Location 026","Péninsule des Flammes infernales, position de cadavre 026","Höllenfeuerhalbinsel, Leichenfundort 026","","","Península del Fuego Infernal, ubicación de cadáver 026","Península del Fuego Infernal, ubicación de cadáver 026","Полуостров Адского Пламени, местонахождение тела 026","","","","","","","","16712190"
"967","530","-1445","3050","-16","Hellfire Peninsula, Corpse Location 027","Hellfire Peninsula, Corpse Location 027","Péninsule des Flammes infernales, position de cadavre 027","Höllenfeuerhalbinsel, Leichenfundort 027","","","Península del Fuego Infernal, ubicación de cadáver 027","Península del Fuego Infernal, ubicación de cadáver 027","Полуостров Адского Пламени, местонахождение тела 027","","","","","","","","16712190"
"968","530","-1510","3281","-16","Hellfire Peninsula, Corpse Location 028","Hellfire Peninsula, Corpse Location 028","Péninsule des Flammes infernales, position de cadavre 028","Höllenfeuerhalbinsel, Leichenfundort 028","","","Península del Fuego Infernal, ubicación de cadáver 028","Península del Fuego Infernal, ubicación de cadáver 028","Полуостров Адского Пламени, местонахождение тела 028","","","","","","","","16712190"
"969","530","248","7084","36","Zangarmarsh, PvP GY","Zangarmarsh, PvP GY","Marécage de Zangar,CI  JcJ","Zangarmarschen, PvP FH","","","Marisma de Zangar, CE JcJ","Marisma de Zangar, CE JcJ","Зангартопь, PvP - кладбище","","","","","","","","16712190"
"970","530","211","6200","22","Zangarmarsh, Telredor GY","Zangarmarsh, Telredor GY","Marécage de Zangar, CI de Telredor","Zangarmarschen, Telredor FH","","","Marisma de Zangar, CE Telredor","Marisma de Zangar, CE Telredor","Зангартопь, Кладбище Телредора","","","","","","","","16712190"
"971","562","6238","262","0","Blades Edge - PvP - Arena Graveyard","Blades Edge - PvP - Arena Graveyard","Tranchantes, JcJ, cimetière de l'arène","Schergrat - PvP - Arenafriedhof","","","Filospada, JcJ, Cementerio de Arena","Filospada, JcJ, Cementerio de Arena","Острогорье, PvP, Кладбище Арены","","","","","","","","16712190"
"972","530","1286","7883","10","Zangarmarsh, Corpse Location 006","Zangarmarsh, Corpse Location 006","Marécage de Zangar, position de cadavre 006","Zangarmarschen, Leichenfundort 006","","","Marisma de Zangar, ubicación de cadáver 006","Marisma de Zangar, ubicación de cadáver 006","Зангартопь, местонахождение тела 006","","","","","","","","16712190"
"973","530","-212","5579","22","Zangarmarsh, Cenarion GY","Zangarmarsh, Cenarion GY","Marécage de Zangar, CI cénarien","Zangarmarschen, Cenaruis FH","","","Marisma de Zangar, CE Cenarion","Marisma de Zangar, CE Cenarion","Зангартопь, Кенарийское кладбище","","","","","","","","16712190"
"974","530","1011","5039","-26","Zangarmarsh, Corpse Location 001","Zangarmarsh, Corpse Location 001","Marécage de Zangar, position de cadavre 001","Zangarmarschen, Leichenfundort 001","","","Marisma de Zangar, ubicación de cadáver 001","Marisma de Zangar, ubicación de cadáver 001","Зангартопь, местонахождение тела 001","","","","","","","","16712190"
"975","530","781","4987","-12","Zangarmarsh, Corpse Location 002","Zangarmarsh, Corpse Location 002","Marécage de Zangar, position de cadavre 002","Zangarmarschen, Leichenfundort 002","","","Marisma de Zangar, ubicación de cadáver 002","Marisma de Zangar, ubicación de cadáver 002","Зангартопь, местонахождение тела 002","","","","","","","","16712190"
"976","530","1001","5714","-9","Zangarmarsh, Corpse Location 003","Zangarmarsh, Corpse Location 003","Marécage de Zangar, position de cadavre 003","Zangarmarschen, Leichenfundort 003","","","Marisma de Zangar, ubicación de cadáver 003","Marisma de Zangar, ubicación de cadáver 003","Зангартопь, местонахождение тела 003","","","","","","","","16712190"
"977","530","1394","7756","12","Zangarmarsh, Corpse Location 004","Zangarmarsh, Corpse Location 004","Marécage de Zangar, position de cadavre 004","Zangarmarschen, Leichenfundort 004","","","Marisma de Zangar, ubicación de cadáver 004","Marisma de Zangar, ubicación de cadáver 004","Зангартопь, местонахождение тела 004","","","","","","","","16712190"
"978","530","1412","8430","-4","Zangarmarsh, Corpse Location 008","Zangarmarsh, Corpse Location 008","Marécage de Zangar, position de cadavre 008","Zangarmarschen, Leichenfundort 008","","","Marisma de Zangar, ubicación de cadáver 008","Marisma de Zangar, ubicación de cadáver 008","Зангартопь, местонахождение тела 008","","","","","","","","16712190"
"979","530","1398","7763","8","Zangarmarsh, Corpse Location 005","Zangarmarsh, Corpse Location 005","Marécage de Zangar, position de cadavre 005","Zangarmarschen, Leichenfundort 005","","","Marisma de Zangar, ubicación de cadáver 005","Marisma de Zangar, ubicación de cadáver 005","Зангартопь, местонахождение тела 005","","","","","","","","16712190"
"980","530","1317","8135","-2","Zangarmarsh, Corpse Location 007","Zangarmarsh, Corpse Location 007","Marécage de Zangar, position de cadavre 007","Zangarmarschen, Leichenfundort 007","","","Marisma de Zangar, ubicación de cadáver 007","Marisma de Zangar, ubicación de cadáver 007","Зангартопь, местонахождение тела 007","","","","","","","","16712190"
"981","530","1706","8407","-24","Zangarmarsh, Corpse Location 009","Zangarmarsh, Corpse Location 009","Marécage de Zangar, position de cadavre 009","Zangarmarschen, Leichenfundort 009","","","Marisma de Zangar, ubicación de cadáver 009","Marisma de Zangar, ubicación de cadáver 009","Зангартопь, местонахождение тела 009","","","","","","","","16712190"
"982","530","1348","8677","6","Zangarmarsh, Corpse Location 011","Zangarmarsh, Corpse Location 011","Marécage de Zangar, position de cadavre 011","Zangarmarschen, Leichenfundort 011","","","Marisma de Zangar, ubicación de cadáver 011","Marisma de Zangar, ubicación de cadáver 011","Зангартопь, местонахождение тела 011","","","","","","","","16712190"
"983","530","1838","8496","-19","Zangarmarsh, Corpse Location 010","Zangarmarsh, Corpse Location 010","Marécage de Zangar, position de cadavre 010","Zangarmarschen, Leichenfundort 010","","","Marisma de Zangar, ubicación de cadáver 010","Marisma de Zangar, ubicación de cadáver 010","Зангартопь, местонахождение тела 010","","","","","","","","16712190"
"984","530","1347","8679","6","Zangarmarsh, Corpse Location 012","Zangarmarsh, Corpse Location 012","Marécage de Zangar, position de cadavre 012","Zangarmarschen, Leichenfundort 012","","","Marisma de Zangar, ubicación de cadáver 012","Marisma de Zangar, ubicación de cadáver 012","Зангартопь, местонахождение тела 012","","","","","","","","16712190"
"985","530","1104","8781","-10","Zangarmarsh, Corpse Location 013","Zangarmarsh, Corpse Location 013","Marécage de Zangar, position de cadavre 013","Zangarmarschen, Leichenfundort 013","","","Marisma de Zangar, ubicación de cadáver 013","Marisma de Zangar, ubicación de cadáver 013","Зангартопь, местонахождение тела 013","","","","","","","","16712190"
"986","530","747","8702","6","Zangarmarsh, Corpse Location 014","Zangarmarsh, Corpse Location 014","Marécage de Zangar, position de cadavre 014","Zangarmarschen, Leichenfundort 014","","","Marisma de Zangar, ubicación de cadáver 014","Marisma de Zangar, ubicación de cadáver 014","Зангартопь, местонахождение тела 014","","","","","","","","16712190"
"987","530","381","9113","-4","Zangarmarsh, Corpse Location 016","Zangarmarsh, Corpse Location 016","Marécage de Zangar, position de cadavre 016","Zangarmarschen, Leichenfundort 016","","","Marisma de Zangar, ubicación de cadáver 016","Marisma de Zangar, ubicación de cadáver 016","Зангартопь, местонахождение тела 016","","","","","","","","16712190"
"988","530","702","8927","-2","Zangarmarsh, Corpse Location 015","Zangarmarsh, Corpse Location 015","Marécage de Zangar, position de cadavre 015","Zangarmarschen, Leichenfundort 015","","","Marisma de Zangar, ubicación de cadáver 015","Marisma de Zangar, ubicación de cadáver 015","Зангартопь, местонахождение тела 015","","","","","","","","16712190"
"989","530","223","9132","-11","Zangarmarsh, Corpse Location 017","Zangarmarsh, Corpse Location 017","Marécage de Zangar, position de cadavre 017","Zangarmarschen, Leichenfundort 017","","","Marisma de Zangar, ubicación de cadáver 017","Marisma de Zangar, ubicación de cadáver 017","Зангартопь, местонахождение тела 017","","","","","","","","16712190"
"990","530","32","9120","-17","Zangarmarsh, Corpse Location 018","Zangarmarsh, Corpse Location 018","Marécage de Zangar, position de cadavre 018","Zangarmarschen, Leichenfundort 018","","","Marisma de Zangar, ubicación de cadáver 018","Marisma de Zangar, ubicación de cadáver 018","Зангартопь, местонахождение тела 018","","","","","","","","16712190"
"991","530","-160","9053","5","Zangarmarsh, Corpse Location 019","Zangarmarsh, Corpse Location 019","Marécage de Zangar, position de cadavre 019","Zangarmarschen, Leichenfundort 019","","","Marisma de Zangar, ubicación de cadáver 019","Marisma de Zangar, ubicación de cadáver 019","Зангартопь, местонахождение тела 019","","","","","","","","16712190"
"992","530","-1066","8066","-39","Nagrand, Northwind Cleft","Nagrand, Northwind Cleft","Nagrand, faille de Norsevent","Nagrand, Nordwindkluft","","","Nagrand, Grieta del Viento Norte","Nagrand, Grieta del Viento Norte","Награнд, Расщелина Северного Ветра","","","","","","","","16712190"
"993","530","-1654","7938","-46","Nagrand, Halaa GY","Nagrand, Halaa GY","Nagrand, Halaa CI","Nagrand, Halaa FH","","","Nagrand, CE Halaa","Nagrand, CE Halaa","Награнд, Кладбище Халаа","","","","","","","","16712190"
"994","530","-1793","4931","-22","Terokkar Forest, Shattrath GY","Terokkar Forest, Shattrath GY","Terokkar Forest, Shattrath GY","Wälder von Terokkar, Shattrath FH","","","Bosque de Terokkar, CE Shattrath","Bosque de Terokkar, CE Shattrath","Лес Тероккар, Кладбище Шаттрата","","","","","","","","16712190"
"995","530","-2540","3866","10","Terokkar Forest, Wilderness GY","Terokkar Forest, Wilderness GY","Forêt de Terokkar, CI dans la nature","Wälder von Terokkar, Wildnis FH","","","Bosque de Terokkar, CE Tierras Salvajes","Bosque de Terokkar, CE Tierras Salvajes","Лес Тероккар, Кладбище Дебрей","","","","","","","","16712190"
"996","451","1463","16470","66","Test - Programmer","Test - Programmer","Test - programmeur","Test - Programmierer","","","Test - Programmer","Test - Programmer","Тест - программист","","","","","","","","16712190"
"997","451","66","60","6","Test - Programmer 001","Test - Programmer 001","Test - programmeur 001","Test - Programmer 001","","","Test - Programmer 001","Test - Programmer 001","Тест - программист 001","","","","","","","","16712190"
"998","559","4055","2919","13","Nagrand - PvP - Arena Graveyard","Nagrand - PvP - Arena Graveyard","Nagrand - JcJ - Cimetière de l'arène","Nagrand - PvP - Arenafriedhof","","","Nagrand, JcJ, Cementerio de Arena","Nagrand, JcJ, Cementerio de Arena","Награнд, PvP, Кладбище Арены","","","","","","","","16712190"
"999","530","-697","8881","185","Nagrand, Corpse Location 001","Nagrand, Corpse Location 001","Nagrand, emplacement cadavre 001","Nagrand, Leichenfundort 001","","","Nagrand, ubicación de cadáver 001","Nagrand, ubicación de cadáver 001","Награнд, местонахождение тела 001","","","","","","","","16712190"
"1000","530","-999","9045","91","Nagrand, Corpse Location 002","Nagrand, Corpse Location 002","Nagrand, emplacement cadavre 002","Nagrand, Leichenfundort 002","","","Nagrand, ubicación de cadáver 002","Nagrand, ubicación de cadáver 002","Награнд, местонахождение тела 002","","","","","","","","16712190"
"1001","530","-1933","9343","74","Nagrand, Corpse Location 003","Nagrand, Corpse Location 003","Nagrand, emplacement cadavre 003","Nagrand, Leichenfundort 003","","","Nagrand, ubicación de cadáver 003","Nagrand, ubicación de cadáver 003","Награнд, местонахождение тела 003","","","","","","","","16712190"
"1002","530","-2153","9323","52","Nagrand, Corpse Location 004","Nagrand, Corpse Location 004","Nagrand, emplacement cadavre 004","Nagrand, Leichenfundort 004","","","Nagrand, ubicación de cadáver 004","Nagrand, ubicación de cadáver 004","Награнд, местонахождение тела 004","","","","","","","","16712190"
"1003","530","-2619","8953","-11","Nagrand, Corpse Location 005","Nagrand, Corpse Location 005","Nagrand, emplacement cadavre 005","Nagrand, Leichenfundort 005","","","Nagrand, ubicación de cadáver 005","Nagrand, ubicación de cadáver 005","Награнд, местонахождение тела 005","","","","","","","","16712190"
"1004","530","-2799","8785","-42","Nagrand, Corpse Location 006","Nagrand, Corpse Location 006","Nagrand, emplacement cadavre 006","Nagrand, Leichenfundort 006","","","Nagrand, ubicación de cadáver 006","Nagrand, ubicación de cadáver 006","Награнд, местонахождение тела 006","","","","","","","","16712190"
"1005","530","-2984","8700","-53","Nagrand, Corpse Location 007","Nagrand, Corpse Location 007","Nagrand, emplacement cadavre 007","Nagrand, Leichenfundort 007","","","Nagrand, ubicación de cadáver 007","Nagrand, ubicación de cadáver 007","Награнд, местонахождение тела 007","","","","","","","","16712190"
"1006","530","-2989","8445","-36","Nagrand, Corpse Location 008","Nagrand, Corpse Location 008","Nagrand, emplacement cadavre 008","Nagrand, Leichenfundort 008","","","Nagrand, ubicación de cadáver 008","Nagrand, ubicación de cadáver 008","Награнд, местонахождение тела 008","","","","","","","","16712190"
"1007","530","-3122","8079","-49","Nagrand, Corpse Location 009","Nagrand, Corpse Location 009","Nagrand, emplacement cadavre 009","Nagrand, Leichenfundort 009","","","Nagrand, ubicación de cadáver 009","Nagrand, ubicación de cadáver 009","Награнд, местонахождение тела 009","","","","","","","","16712190"
"1008","530","-3155","7316","-25","Nagrand, Corpse Location 010","Nagrand, Corpse Location 010","Nagrand, emplacement cadavre 010","Nagrand, Leichenfundort 010","","","Nagrand, ubicación de cadáver 010","Nagrand, ubicación de cadáver 010","Награнд, местонахождение тела 010","","","","","","","","16712190"
"1009","530","-3244","7079","-49","Nagrand, Corpse Location 011","Nagrand, Corpse Location 011","Nagrand, emplacement cadavre 011","Nagrand, Leichenfundort 011","","","Nagrand, ubicación de cadáver 011","Nagrand, ubicación de cadáver 011","Награнд, местонахождение тела 011","","","","","","","","16712190"
"1010","530","-2987","7045","-54","Nagrand, Corpse Location 012","Nagrand, Corpse Location 012","Nagrand, emplacement cadavre 012","Nagrand, Leichenfundort 012","","","Nagrand, ubicación de cadáver 012","Nagrand, ubicación de cadáver 012","Награнд, местонахождение тела 012","","","","","","","","16712190"
"1011","530","-2962","6796","-51","Nagrand, Corpse Location 013","Nagrand, Corpse Location 013","Nagrand, emplacement cadavre 013","Nagrand, Leichenfundort 013","","","Nagrand, ubicación de cadáver 013","Nagrand, ubicación de cadáver 013","Награнд, местонахождение тела 013","","","","","","","","16712190"
"1012","530","-3045","6508","99","Nagrand, Corpse Location 014","Nagrand, Corpse Location 014","Nagrand, emplacement cadavre 014","Nagrand, Leichenfundort 014","","","Nagrand, ubicación de cadáver 014","Nagrand, ubicación de cadáver 014","Награнд, местонахождение тела 014","","","","","","","","16712190"
"1013","530","-3379","6206","-3","Terokkar Forest, Corpse Location 001","Terokkar Forest, Corpse Location 001","Forêt de Terokkar, emplacement cadavre 001","Wälder von Terokkar, Leichenfundort 001","","","Bosque de Terokkar, ubicación de cadáver 001","Bosque de Terokkar, ubicación de cadáver 001","Лес Тероккар, местонахождение тела 001","","","","","","","","16712190"
"1014","530","-3621","6225","-18","Terokkar Forest, Corpse Location 002","Terokkar Forest, Corpse Location 002","Forêt de Terokkar, emplacement cadavre 002","Wälder von Terokkar, Leichenfundort 002","","","Bosque de Terokkar, ubicación de cadáver 002","Bosque de Terokkar, ubicación de cadáver 002","Лес Тероккар, местонахождение тела 002","","","","","","","","16712190"
"1015","530","-3898","6147","-37","Terokkar Forest, Corpse Location 003","Terokkar Forest, Corpse Location 003","Forêt de Terokkar, emplacement cadavre 003","Wälder von Terokkar, Leichenfundort 003","","","Bosque de Terokkar, ubicación de cadáver 003","Bosque de Terokkar, ubicación de cadáver 003","Лес Тероккар, местонахождение тела 003","","","","","","","","16712190"
"1016","530","-3844","5931","-25","Terokkar Forest, Corpse Location 004","Terokkar Forest, Corpse Location 004","Forêt de Terokkar, emplacement cadavre 004","Wälder von Terokkar, Leichenfundort 004","","","Bosque de Terokkar, ubicación de cadáver 004","Bosque de Terokkar, ubicación de cadáver 004","Лес Тероккар, местонахождение тела 004","","","","","","","","16712190"
"1017","530","-3801","5618","-26","Terokkar Forest, Corpse Location 005","Terokkar Forest, Corpse Location 005","Forêt de Terokkar, emplacement cadavre 005","Wälder von Terokkar, Leichenfundort 005","","","Bosque de Terokkar, ubicación de cadáver 005","Bosque de Terokkar, ubicación de cadáver 005","Лес Тероккар, местонахождение тела 005","","","","","","","","16712190"
"1018","530","-3910","5404","-35","Terokkar Forest, Corpse Location 006","Terokkar Forest, Corpse Location 006","Forêt de Terokkar, emplacement cadavre 006","Wälder von Terokkar, Leichenfundort 006","","","Bosque de Terokkar, ubicación de cadáver 006","Bosque de Terokkar, ubicación de cadáver 006","Лес Тероккар, местонахождение тела 006","","","","","","","","16712190"
"1019","530","-3886","5149","-59","Terokkar Forest, Corpse Location 007","Terokkar Forest, Corpse Location 007","Forêt de Terokkar, emplacement cadavre 007","Wälder von Terokkar, Leichenfundort 007","","","Bosque de Terokkar, ubicación de cadáver 007","Bosque de Terokkar, ubicación de cadáver 007","Лес Тероккар, местонахождение тела 007","","","","","","","","16712190"
"1020","530","-3990","4869","-107","Terokkar Forest, Corpse Location 008","Terokkar Forest, Corpse Location 008","Forêt de Terokkar, emplacement cadavre 008","Wälder von Terokkar, Leichenfundort 008","","","Bosque de Terokkar, ubicación de cadáver 008","Bosque de Terokkar, ubicación de cadáver 008","Лес Тероккар, местонахождение тела 008","","","","","","","","16712190"
"1021","530","-3904","4591","-45","Terokkar Forest, Corpse Location 009","Terokkar Forest, Corpse Location 009","Forêt de Terokkar, emplacement cadavre 009","Wälder von Terokkar, Leichenfundort 009","","","Bosque de Terokkar, ubicación de cadáver 009","Bosque de Terokkar, ubicación de cadáver 009","Лес Тероккар, местонахождение тела 009","","","","","","","","16712190"
"1022","530","-4024","4421","-50","Terokkar Forest, Corpse Location 010","Terokkar Forest, Corpse Location 010","Forêt de Terokkar, emplacement cadavre 010","Wälder von Terokkar, Leichenfundort 010","","","Bosque de Terokkar, ubicación de cadáver 010","Bosque de Terokkar, ubicación de cadáver 010","Лес Тероккар, местонахождение тела 010","","","","","","","","16712190"
"1023","530","-3965","4128","0","Terokkar Forest, Corpse Location 011","Terokkar Forest, Corpse Location 011","Forêt de Terokkar, emplacement cadavre 011","Wälder von Terokkar, Leichenfundort 011","","","Bosque de Terokkar, ubicación de cadáver 011","Bosque de Terokkar, ubicación de cadáver 011","Лес Тероккар, местонахождение тела 011","","","","","","","","16712190"
"1024","530","-2415","1811","-1","Shadowmoon, Corpse Location 001","Shadowmoon, Corpse Location 001","Ombrelune, emplacement cadavre 001","Schattenmond, Leichenfundort 001","","","Valle Sombraluna, ubicación de cadáver 001","Valle Sombraluna, ubicación de cadáver 001","Призрачная Луна, местонахождение тела 001","","","","","","","","16712190"
"1025","530","-2319","1749","-13","Shadowmoon, Corpse Location 002","Shadowmoon, Corpse Location 002","Ombrelune, emplacement cadavre 002","Schattenmond, Leichenfundort 002","","","Valle Sombraluna, ubicación de cadáver 002","Valle Sombraluna, ubicación de cadáver 002","Призрачная Луна, местонахождение тела 002","","","","","","","","16712190"
"1026","530","-2447","1612","-27","Shadowmoon, Corpse Location 003","Shadowmoon, Corpse Location 003","Ombrelune, emplacement cadavre 003","Schattenmond, Leichenfundort 003","","","Valle Sombraluna, ubicación de cadáver 003","Valle Sombraluna, ubicación de cadáver 003","Призрачная Луна, местонахождение тела 003","","","","","","","","16712190"
"1027","530","-2650","1666","10","Shadowmoon, Corpse Location 004","Shadowmoon, Corpse Location 004","Ombrelune, emplacement cadavre 004","Schattenmond, Leichenfundort 004","","","Valle Sombraluna, ubicación de cadáver 004","Valle Sombraluna, ubicación de cadáver 004","Призрачная Луна, местонахождение тела 004","","","","","","","","16712190"
"1028","530","-4151","3425","293","Terokkar Forest, Corpse Location 016","Terokkar Forest, Corpse Location 016","Forêt de Terokkar, emplacement cadavre 016","Wälder von Terokkar, Leichenfundort 016","","","Bosque de Terokkar, ubicación de cadáver 016","Bosque de Terokkar, ubicación de cadáver 016","Лес Тероккар, местонахождение тела 016","","","","","","","","16712190"
"1029","530","-2648","3020","-13","Terokkar Forest, Corpse Location 017","Terokkar Forest, Corpse Location 017","Forêt de Terokkar, emplacement cadavre 017","Wälder von Terokkar, Leichenfundort 017","","","Bosque de Terokkar, ubicación de cadáver 017","Bosque de Terokkar, ubicación de cadáver 017","Лес Тероккар, местонахождение тела 017","","","","","","","","16712190"
"1030","530","-2375","2848","-69","Terokkar Forest, Corpse Location 018","Terokkar Forest, Corpse Location 018","Forêt de Terokkar, emplacement cadavre 018","Wälder von Terokkar, Leichenfundort 018","","","Bosque de Terokkar, ubicación de cadáver 018","Bosque de Terokkar, ubicación de cadáver 018","Лес Тероккар, местонахождение тела 018","","","","","","","","16712190"
"1031","530","-2205","2968","-69","Terokkar Forest, Corpse Location 019","Terokkar Forest, Corpse Location 019","Forêt de Terokkar, emplacement cadavre 019","Wälder von Terokkar, Leichenfundort 019","","","Bosque de Terokkar, ubicación de cadáver 019","Bosque de Terokkar, ubicación de cadáver 019","Лес Тероккар, местонахождение тела 019","","","","","","","","16712190"
"1032","530","-2098","3116","-51","Terokkar Forest, Corpse Location 020","Terokkar Forest, Corpse Location 020","Forêt de Terokkar, emplacement cadavre 020","Wälder von Terokkar, Leichenfundort 020","","","Bosque de Terokkar, ubicación de cadáver 020","Bosque de Terokkar, ubicación de cadáver 020","Лес Тероккар, местонахождение тела 020","","","","","","","","16712190"
"1033","530","-2047","3278","-61","Terokkar Forest, Corpse Location 021","Terokkar Forest, Corpse Location 021","Forêt de Terokkar, emplacement cadavre 021","Wälder von Terokkar, Leichenfundort 021","","","Bosque de Terokkar, ubicación de cadáver 021","Bosque de Terokkar, ubicación de cadáver 021","Лес Тероккар, местонахождение тела 021","","","","","","","","16712190"
"1034","530","-2059","3560","-74","Terokkar Forest, Corpse Location 022","Terokkar Forest, Corpse Location 022","Forêt de Terokkar, emplacement cadavre 022","Wälder von Terokkar, Leichenfundort 022","","","Bosque de Terokkar, ubicación de cadáver 022","Bosque de Terokkar, ubicación de cadáver 022","Лес Тероккар, местонахождение тела 022","","","","","","","","16712190"
"1035","530","-1876","3700","-19","Terokkar Forest, Corpse Location 023","Terokkar Forest, Corpse Location 023","Forêt de Terokkar, emplacement cadavre 023","Wälder von Terokkar, Leichenfundort 023","","","Bosque de Terokkar, ubicación de cadáver 023","Bosque de Terokkar, ubicación de cadáver 023","Лес Тероккар, местонахождение тела 023","","","","","","","","16712190"
"1036","530","0","0","0","Reuse","Reuse","Réutiliser","Reuse","","","Reuse","Reuse","Использовать повторно","","","","","","","","16712190"
"1037","530","-1289","9166","218","Nagrand, Portal Plateau","Nagrand, Portal Plateau","Nagrand, plateau du portail","Nagrand, Portalplateau","","","Nagrand, Portal Meseta","Nagrand, Portal Meseta","Награнд, Плато Портала","","","","","","","","16712190"
"1038","530","-856","6600","173","Nagrand, Elemental Plateau","Nagrand, Elemental Plateau","Nagrand, plateau élémentaire","Nagrand, Elementarplateau","","","Nagrand, Meseta Elemental","Nagrand, Meseta Elemental","Награнд, Плато Стихий","","","","","","","","16712190"
"1039","530","-2033","8479","0","Nagrand, SW Graveyard","Nagrand, SW Graveyard","Nagrand, cimetière SO","Nagrand, SW Friedhof","","","Nagrand, Cementerio SO","Nagrand, Cementerio SO","Награнд, Юго-Западное кладбище","","","","","","","","16712190"
"1040","530","700","2207","288","Hellfire Peninsula, Throne of Kil'Jaedan","Hellfire Peninsula, Throne of Kil'Jaedan","Péninsule des Flammes infernales, Trône de Kil'jaeden","Höllenfeuerhalbinsel, Kil'Jaedens Thron","","","Península del Fuego Infernal, Trono de Kil'Jaedan","Península del Fuego Infernal, Trono de Kil'Jaedan","Полуостров Адского Пламени, Трон Кил'джедена","","","","","","","","16712190"
"1041","530","-249","1023","54","Hellfire Peninsula, Dark Portal","Hellfire Peninsula, Dark Portal","Porte des ténèbres, péninsule des Flammes infernales","Höllenfeuerhalbinsel, das Dunkle Portal","","","Península del Fuego Infernal, El Portal Oscuro","Península del Fuego Infernal, El Portal Oscuro","Полуостров Адского Пламени, Темный портал","","","","","","","","16712190"
"1042","530","-3562","4666","-21","Terokkar Forest, Bone Wastes GY","Terokkar Forest, Bone Wastes GY","Forêt de Terokkar, CI du désert des Ossements","Wälder von Terokkar, Knochenwüste FH","","","Bosque de Terokkar, CE El Vertedero de Huesos","Bosque de Terokkar, CE El Vertedero de Huesos","Лес Тероккар, Кладбище Костяных пустошей","","","","","","","","16712190"
"1043","530","874","7284","23","Zangarmarsh, Harborage GY","Zangarmarsh, Harborage GY","Marécage de Zangar, CI du Havre","Zangarmarschen, Zuflucht FH","","","Marisma de Zangar, CE Puerto","Marisma de Zangar, CE Puerto","Зангартопь, Кладбище Прибежища","","","","","","","","16712190"
"1044","530","337","8616","24","Zangarmarsh, Sporeggar GY","Zangarmarsh, Sporeggar GY","Marécage de Zangar, CI de Sporeggar","Zangarmarschen, Sporeggar FH","","","Marisma de Zangar, CE Esporaggar","Marisma de Zangar, CE Esporaggar","Зангартопь, Кладбище Спореггара","","","","","","","","16712190"
"1045","530","4363","3093","132","Netherstorm, Stormspire GY","Netherstorm, Stormspire GY","Raz-de-Néant, la Foudreflèche CI","Nethersturm, Sturmsäule FH","","","Tormenta Abisal, CE La Flecha de la Tormenta","Tormenta Abisal, CE La Flecha de la Tormenta","Пустоверть, Кладбище Штормовой Вершины","","","","","","","","16712190"
"1046","530","3032","3594","145","Netherstorm, Area 52 GY","Netherstorm, Area 52 GY","Raz-de-Néant, Zone 52 CI","Nethersturm, Area 52 FH","","","Tormenta Abisal, CE Área 52","Tormenta Abisal, CE Área 52","Пустоверть, кладбище зоны 52","","","","","","","","16712190"
"1047","530","-2999","2439","62","Shadowmoon Valley, Shadowmoon Village GY","Shadowmoon Valley, Shadowmoon Village GY","Vallée d'Ombrelune, village d'Ombrelune CI","Schattenmondtal, Schattenmond FH","","","Valle Sombraluna, CE Aldea Sombraluna","Valle Sombraluna, CE Aldea Sombraluna","Долина Призрачной Луны, Кладбище Деревни Призрачной Луны","","","","","","","","16712190"
"1048","530","-4022","2048","96","Shadowmoon Valley, Wildhammer GY","Shadowmoon Valley, Wildhammer GY","Vallée d'Ombrelune, Marteau-hardi CI","Schattenmondtal, Wildhammer FH","","","Valle Sombraluna, CE Bastión Martillo Salvaje","Valle Sombraluna, CE Bastión Martillo Salvaje","Долина Призрачной Луны, Кладбище Громового Молота","","","","","","","","16712190"
