"ID","MapID","AreaID","PhaseShift","Icon","String_Lang_enUS","String_Lang_enGB","String_Lang_koKR","String_Lang_frFR","String_Lang_deDE","String_Lang_enCN","String_Lang_zhCN","String_Lang_enTW","String_Lang_zhTW","String_Lang_esES","String_Lang_esMX","String_Lang_ruRU","String_Lang_ptPT","String_Lang_ptBR","String_Lang_itIT","String_Lang_Unk","String_Lang_Mask","Tooltip_Lang_enUS","Tooltip_Lang_enGB","Tooltip_Lang_koKR","Tooltip_Lang_frFR","Tooltip_Lang_deDE","Tooltip_Lang_enCN","Tooltip_Lang_zhCN","Tooltip_Lang_enTW","Tooltip_Lang_zhTW","Tooltip_Lang_esES","Tooltip_Lang_esMX","Tooltip_Lang_ruRU","Tooltip_Lang_ptPT","Tooltip_Lang_ptBR","Tooltip_Lang_itIT","Tooltip_Lang_Unk","Tooltip_Lang_Mask","StateVariable","Type","DynamicIcon","DynamicTooltip_Lang_enUS","DynamicTooltip_Lang_enGB","DynamicTooltip_Lang_koKR","DynamicTooltip_Lang_frFR","DynamicTooltip_Lang_deDE","DynamicTooltip_Lang_enCN","DynamicTooltip_Lang_zhCN","DynamicTooltip_Lang_enTW","DynamicTooltip_Lang_zhTW","DynamicTooltip_Lang_esES","DynamicTooltip_Lang_esMX","DynamicTooltip_Lang_ruRU","DynamicTooltip_Lang_ptPT","DynamicTooltip_Lang_ptBR","DynamicTooltip_Lang_itIT","DynamicTooltip_Lang_Unk","DynamicTooltip_Lang_Mask","ExtendedUI","ExtendedUIStateVariable_1","ExtendedUIStateVariable_2","ExtendedUIStateVariable_3"
"274","1","0","256","Interface\TargetingFrame\UI-PVP-Horde","The Darkspear are prepared to take back the Echo Isles.","The Darkspear are prepared to take back the Echo Isles.","Les Sombrelances sont prêts à reprendre les îles de l'Écho.","Die Dunkelspeere sind bereit, die Echoinseln zurückzuerobern.","","","Los Lanza Negra van a reconquistar las Islas del Eco.","Los Lanza Negra van a reconquistar las Islas del Eco.","Черное Копье готово сражаться за Острова Эха.","","","","","","","","16712190","The Darkspear are prepared to take back the Echo Isles.","The Darkspear are prepared to take back the Echo Isles.","Les Sombrelances sont prêts à reprendre les îles de l'Écho.","Die Dunkelspeere sind bereit, die Echoinseln zurückzuerobern.","","","Los Lanza Negra están preparados para reconquistar las Islas del Eco.","Los Lanza Negra están preparados para reconquistar las Islas del Eco.","Черное Копье готово сражаться за Острова Эха.","","","","","","","","16712190","5052","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"277","1","0","256","Interface\TargetingFrame\UI-PVP-Horde","The trolls have Bwonsamdi on their side!","The trolls have Bwonsamdi on their side!","Les trolls ont Bwonsamdi à leurs côtés !","Die Trolle haben Bwonsamdi auf ihrer Seite!","","","¡Los trols tienen a Bwonsamdi de su lado!","¡Los trols tienen a Bwonsamdi de su lado!","Бвонсамди сражается на стороне троллей!","","","","","","","","16712190","The trolls have Bwonsamdi on their side!","The trolls have Bwonsamdi on their side!","Les trolls ont Bwonsamdi à leurs côtés !","Die Trolle haben Bwonsamdi auf ihrer Seite!","","","¡Los trols tienen a Bwonsamdi de su lado!","¡Los trols tienen a Bwonsamdi de su lado!","Бвонсамди сражается на стороне троллей!","","","","","","","","16712190","5100","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"279","1","0","256","Interface\TargetingFrame\UI-PVP-Horde","The burnt village has been reclaimed!","The burnt village has been reclaimed!","Le village incendié a été repris !","Das niedergebrannte Dorf wurde zurückerobert!","","","¡Se ha reconquistado la aldea quemada!","¡Se ha reconquistado la aldea quemada!","Сожженная деревня была отвоевана!","","","","","","","","16712190","The Trolls have eliminated the mindless forces in the burnt village.","The Trolls have eliminated the mindless forces in the burnt village.","Les trolls ont éliminé les troupes décérébrées du village incendié.","Die Trolle haben die geistlosen Truppen in dem niedergebrannten Dorf vernichtet.","","","Los trols han eliminado las inútiles fuerzas de la aldea quemada.","Los trols han eliminado las inútiles fuerzas de la aldea quemada.","Тролли отвоевали сожженную деревню у своих заколдованных сородичей.","","","","","","","","16712190","5101","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"281","1","0","256","Interface\TargetingFrame\UI-PVP-Horde","Zalazane has fled to another island!","Zalazane has fled to another island!","Zalazane a fui vers une autre île !","Zalazane ist auf eine andere Insel geflüchtet!","","","¡Zalazane ha huido a otra isla!","¡Zalazane ha huido a otra isla!","Залазан бежал на другой остров!","","","","","","","","16712190","The troll forces have forced Zalazane to flee to another island.","The troll forces have forced Zalazane to flee to another island.","Les troupes trolles ont forcé Zalazane à fuir vers une autre île.","Die Streitkräfte der Trolle haben Zalazane zur Flucht auf eine andere Insel gezwungen.","","","Las fuerzas trol han obligado a Zalazane a huir a otra isla.","Las fuerzas trol han obligado a Zalazane a huir a otra isla.","Войска троллей заставили Залазана бежать на другой остров.","","","","","","","","16712190","5102","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"283","1","0","256","Interface\TargetingFrame\UI-PVP-Horde","Zalazane has been defeated!","Zalazane has been defeated!","Zalazane a été vaincu !","Zalazane wurde besiegt!","","","¡Zalazane ha sido derrotado!","¡Zalazane ha sido derrotado!","Залазан побежден!","","","","","","","","16712190","Zalazane has been defeated!","Zalazane has been defeated!","Zalazane a été vaincu !","Zalazane wurde besiegt!","","","¡Zalazane ha sido derrotado!","¡Zalazane ha sido derrotado!","Залазан побежден!","","","","","","","","16712190","5061","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"276","1","0","256","Interface\WorldStateFrame\CombatSwords","Requesting the aid of Bwonsamdi","Requesting the aid of Bwonsamdi","Demander l'aide de Bwonsamdi","Bwonsamdis Hilfe erbitten","","","Solicitar ayuda a Bwonsamdi","Solicitar ayuda a Bwonsamdi","Попросите Бвонсамди о помощи","","","","","","","","16712190","Assist the trolls convince Bwonsamdi to help them","Assist the trolls convince Bwonsamdi to help them","Aider les trolls à convaincre Bwonsamdi de leur porter secours","Unterstützt die Trolle dabei, Bwonsamdis Hilfe zu erhalten.","","","Ayuda a los trols a convencer a Bwonsamdi para que les ayude","Ayuda a los trols a convencer a Bwonsamdi para que les ayude","Убедите Бвонсамди помочь троллям","","","","","","","","16712190","5099","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"278","1","0","256","Interface\WorldStateFrame\CombatSwords","Assist the trolls in taking back the burnt village.","Assist the trolls in taking back the burnt village.","Aider les trolls à reprendre le village incendié.","Helft den Trollen, das niedergebrannte Dorf zurückzuerobern.","","","Ayuda a los trols a reconquistar la aldea quemada.","Ayuda a los trols a reconquistar la aldea quemada.","Помогите троллям вернуть сожженную деревню.","","","","","","","","16712190","Assist the trolls in taking back the burnt village.","Assist the trolls in taking back the burnt village.","Aider les trolls à reprendre le village incendié.","Helft den Trollen, das niedergebrannte Dorf zurückzuerobern.","","","Ayuda a los trols a reconquistar la aldea quemada.","Ayuda a los trols a reconquistar la aldea quemada.","Помогите троллям вернуть сожженную деревню.","","","","","","","","16712190","5056","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"280","1","0","256","Interface\WorldStateFrame\CombatSwords","Vol'jin and his forces are fighting Zalazane.","Vol'jin and his forces are fighting Zalazane.","Vol'jin et ses troupes combattent Zalazane.","Vol'jin und seine Truppen bekämpfen Zalazane.","","","Vol'jin y su ejército luchan contra Zalazane.","Vol'jin y su ejército luchan contra Zalazane.","Войска Вол'джина сражаются с Залазаном.","","","","","","","","16712190","Vol'jin and his forces are fighting Zalazane and his hexed troll followers.","Vol'jin and his forces are fighting Zalazane and his hexed troll followers.","Vol'jin et ses troupes combattent Zalazane et ses serviteurs trolls maléficiés.","Vol'jin und seine Truppen bekämpfen Zalazane und seine verhexten Trolle.","","","Vol'jin y su ejército luchan contra Zalazane y sus seguidores trols embrujados.","Vol'jin y su ejército luchan contra Zalazane y sus seguidores trols embrujados.","Войска Вол'джина сражаются с Залазаном и заколдованными троллями.","","","","","","","","16712190","5090","0","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"282","1","0","256","Interface\WorldStateFrame\CombatSwords","The forces are battling Zalazane","The forces are battling Zalazane","Les troupes combattent Zalazane","Die Streitmacht kämpft gegen Zalazane.","","","Las fuerzas luchan contra Zalazane","Las fuerzas luchan contra Zalazane","Идет битва с Залазаном","","","","","","","","16712190","The forces are battling Zalazane","The forces are battling Zalazane","Les troupes combattent Zalazane","Die Streitmacht kämpft gegen Zalazane.","","","Las fuerzas luchan contra Zalazane","Las fuerzas luchan contra Zalazane","Идет битва с Залазаном","","","","","","","","16712190","5060","0","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"275","1","0","256","Interface\TargetingFrame\UI-PVP-Horde","%5071w minutes until Echo Isles takeback begins!","%5071w minutes until Echo Isles takeback begins!","%5071w minutes avant le début de la reprise des îles de l'Écho !","%5071w Minuten bis zum Beginn der Rückeroberung der Echoinseln!","","","¡%5071w min para la reconquista de las Islas del Eco!","¡%5071w min para la reconquista de las Islas del Eco!","Битва за Острова Эха начнется через %5071w |4минуту:минуты:минут","","","","","","","","16712190","Echo Isles Takeback will commence at this time","Echo Isles Takeback will commence at this time","La reprise des îles de l'Écho commencera à ce moment","In dieser Zeit wird die Rückeroberung der Echoinseln beginnen.","","","La reconquista de las Islas del Eco comenzará en este momento","La reconquista de las Islas del Eco comenzará en este momento","Время начала битвы за Острова Эха","","","","","","","","16712190","5070","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"178","1","513","0","","%3082w / 12 Marksmen Remaining","%3082w / 12 Marksmen Remaining","%3082w / 12 Tireur(s) d'élite restant(s).","Verbleibende Schützen %3082w / 12","","","%3082w / 12 tiradores restantes","%3082w / 12 tiradores restantes","Осталось лучников: %3082w / 12","","","","","","","","16712190","Number of Theramore defenders still alive.","Number of Theramore defenders still alive.","Nombre de défenseurs de Theramore encore en vie.","Anzahl der noch lebenden Verteidiger von Theramore.","","","Número de defensores de Theramore aún con vida.","Número de defensores de Theramore aún con vida.","Количество защитников Терамора, оставшихся в живых.","","","","","","","","16712190","3083","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"126","1","1377","0","Interface\TargetingFrame\UI-PVP-Alliance","%2313w/%2317w","%2313w/%2317w","%2313w/%2317w","%2313w/%2317w","","","%2313w/%2317w","%2313w/%2317w","%2313w/%2317w","","","","","","","","16712190","Alliance Silithyst Collected","Alliance Silithyst Collected","Silithyste collectée par l'Alliance","Gesammelter Silithyst der Allianz","","","Silitista recogida por la Alianza","Silitista recogida por la Alianza","Силитист, собранный Альянсом","","","","","","","","16712190","0","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"127","1","1377","0","Interface\TargetingFrame\UI-PVP-Horde","%2314w/%2317w","%2314w/%2317w","%2314w/%2317w","%2314w/%2317w","","","%2314w/%2317w","%2314w/%2317w","%2314w/%2317w","","","","","","","","16712190","Horde Silithyst Collected","Horde Silithyst Collected","Silithyste collectée par la Horde","Gesammelter Silithyst der Horde","","","Silitista recogida por la Horda","Silitista recogida por la Horda","Силитист, собранный Ордой","","","","","","","","16712190","0","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"180","30","0","0","Interface\TargetingFrame\UI-PVP-Alliance","Reinforcements: %3127w","Reinforcements: %3127w","Renforts : %3127w","Verstärkung: %3127w","","","Refuerzos: %3127w","Refuerzos: %3127w","Подкрепление: %3127w","","","","","","","","16712190","Alliance Reinforcements","Alliance Reinforcements","Renforts de l'Alliance","Verstärkung der Allianz","","","Refuerzos de la Alianza","Refuerzos de la Alianza","Подкрепление Альянса","","","","","","","","16712190","3134","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"181","30","0","0","Interface\TargetingFrame\UI-PVP-Horde","Reinforcements: %3128w","Reinforcements: %3128w","Renforts : %3128w","Verstärkung: %3128w","","","Refuerzos: %3128w","Refuerzos: %3128w","Подкрепление: %3128w","","","","","","","","16712190","Horde Reinforcements","Horde Reinforcements","Renforts de la Horde","Verstärkung der Horde","","","Refuerzos de la Horda","Refuerzos de la Horda","Подкрепление Орды","","","","","","","","16712190","3133","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"63","30","0","0","Interface\WorldStateFrame\ColumnIcon-GraveyardCapture","Graveyards Assaulted","Graveyards Assaulted","Cimetières
attaqués","Erstürmte Friedhöfe","","","Cem. asaltados","Cem. asaltados","Штурмы кладбищ","","","","","","","","16712190","Number of times enemy graveyard banners have been removed","Number of times enemy graveyard banners have been removed","Nombre de fois où les bannières des cimetières ennemis ont été saisies","Anzahl der entwendeten feindlichen Friedhofsbanner","","","Veces que se ha robado la bandera enemiga del cementerio","Veces que se ha robado la bandera enemiga del cementerio","Количество знамен противника, захваченных на кладбищах","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"65","30","0","0","Interface\WorldStateFrame\ColumnIcon-GraveyardDefend","Graveyards Defended","Graveyards Defended","Cimetières
défendus","Verteidigte Friedhöfe","","","Cem. defendidos","Cem. defendidos","Оборона кладбищ","","","","","","","","16712190","Number of times a graveyard capture has been prevented","Number of times a graveyard capture has been prevented","Nombre de fois où la prise d'un cimetière a été évitée","Zurückeroberte Friedhöfe","","","Veces que se ha evitado que capturasen un cementerio","Veces que se ha evitado que capturasen un cementerio","Количество отбитых попыток захвата кладбищ","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"61","30","0","0","Interface\WorldStateFrame\ColumnIcon-TowerCapture","Towers Assaulted","Towers Assaulted","Tours attaquées","Erstürmte Türme","","","Torres asaltadas","Torres asaltadas","Штурмы башен","","","","","","","","16712190","Number of times enemy tower banners have been removed","Number of times enemy tower banners have been removed","Nombre de fois où les bannières des tours ennemies ont été saisies","Anzahl der entwendeten feindlichen Turmbanner","","","Veces que se ha robado la bandera enemiga de la torre","Veces que se ha robado la bandera enemiga de la torre","Количество знамен противника, захваченных на башнях","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"64","30","0","0","Interface\WorldStateFrame\ColumnIcon-TowerDefend","Towers Defended","Towers Defended","Tours défendues","Verteidigte Türme","","","Torres defendidas","Torres defendidas","Оборона башен","","","","","","","","16712190","Number of times a tower capture has been prevented","Number of times a tower capture has been prevented","Nombre de fois où la prise d'une tour a été évitée","Zurückeroberte Türme","","","Veces que se ha evitado que capturasen una torre","Veces que se ha evitado que capturasen una torre","Количество отбитых попыток захвата башен","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"82","30","0","0","","Secondary Objectives","Secondary Objectives","Objectifs secondaires","Sekundäre Ziele","","","Objetivos secundar.","Objetivos secundar.","Доп. цели","","","","","","","","16712190","Number of secondary units activated","Number of secondary units activated","Nombre d'unités secondaires activées","Anzahl der erreichten sekundären Ziele","","","Número de unidades secundarias activas","Número de unidades secundarias activas","Количество задействованных дополнительных войск","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"150","269","2366","0","","Medivh's Shield Remaining: %2540w%","Medivh's Shield Remaining: %2540w%","Bouclier de Medivh restant : %2540w%","Medivhs Schild: %2540w%","","","Escudo de Medivh restante: %2540w%","Escudo de Medivh restante: %2540w%","Прочность щита Медива: %2540w%","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2541","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"171","269","2366","0","","Time Rifts Opened: %2784w/18","Time Rifts Opened: %2784w/18","Failles temporelles ouvertes : %2784w/18","Geöffnete Zeitrisse: %2784w/18","","","Grietas en el Tiempo abiertas: %2784w/18","Grietas en el Tiempo abiertas: %2784w/18","Врат Времени открыто: %2784w/18","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2541","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"42","489","0","0","Interface\WorldStateFrame\ColumnIcon-FlagCapture","Flag Captures","Flag Captures","Drapeaux capturés","Eroberte Flaggen","","","Banderas capturadas","Banderas capturadas","Захваты флага","","","","","","","","16712190","Number of times you have captured the enemy flag","Number of times you have captured the enemy flag","Nombre de fois où vous avez capturé le drapeau ennemi","Gegnerische Flaggen die von Euch erobert wurden","","","Veces que has capturado una bandera enemiga","Veces que has capturado una bandera enemiga","Количество флагов противника, захваченных вами.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"44","489","0","0","Interface\WorldStateFrame\ColumnIcon-FlagReturn","Flag Returns","Flag Returns","Drapeaux ramenés","Zurückgebrachte Flaggen","","","Banderas recuperadas","Banderas recuperadas","Возвраты флага","","","","","","","","16712190","Number of times you have returned your flag to your base from the field","Number of times you have returned your flag to your base from the field","Nombre de fois où vous avez rapporté votre drapeau à la base","Flaggen die Ihr in die eigene Basis zurückgebracht habt","","","Veces que has devuelto la bandera a tu base desde el campo de batalla","Veces que has devuelto la bandera a tu base desde el campo de batalla","Количество флагов, возвращенных вами на базу.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"244","489","3277","0","","Time Remaining: %4248w min.","Time Remaining: %4248w min.","Temps restant : %4248w min.","Verbleibende Zeit: %4248w Min.","","","Tiempo restante: %4248w min.","Tiempo restante: %4248w min.","Осталось: %4248w мин.","","","","","","","","16712190","Time Remaining","Time Remaining","Temps restant","Verbleibende Zeit","","","Tiempo restante","Tiempo restante","Осталось","","","","","","","","16712190","4247","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"2","489","3277","0","Interface\TargetingFrame\UI-PVP-Alliance","%1581w/%1601w","%1581w/%1601w","%1581w/%1601w","%1581w/%1601w","","","%1581w/%1601w","%1581w/%1601w","%1581w/%1601w","","","","","","","","16712190","Alliance flag captures","Alliance flag captures","Drapeaux capturés par l'Alliance","Eroberte Flaggen (Allianz)","","","Banderas capturadas por la Alianza","Banderas capturadas por la Alianza","Флаги, захваченные Альянсом","","","","","","","","16712190","2339","0","Interface\WorldStateFrame\HordeFlag","Horde flag has been picked up","Horde flag has been picked up","Le drapeau de la Horde a été pris","Die Flagge der Horde wurde aufgehoben","","","¡Han robado la bandera de la Horda!","¡Han robado la bandera de la Horda!","Флаг Орды взят","","","","","","","","16712190","","0","0","0"
"3","489","3277","0","Interface\TargetingFrame\UI-PVP-Horde","%1582w/%1601w","%1582w/%1601w","%1582w/%1601w","%1582w/%1601w","","","%1582w/%1601w","%1582w/%1601w","%1582w/%1601w","","","","","","","","16712190","Horde flag captures","Horde flag captures","Drapeaux capturés par la Horde","Eroberte Flaggen (Horde)","","","Banderas capturadas por la Horda","Banderas capturadas por la Horda","Флаги, захваченные Ордой","","","","","","","","16712190","2338","0","Interface\WorldStateFrame\AllianceFlag","Alliance flag has been picked up","Alliance flag has been picked up","Le drapeau de l'Alliance a été pris","Die Flagge der Allianz wurde aufgehoben","","","¡Han robado la bandera de la Alianza!","¡Han robado la bandera de la Alianza!","Флаг Альянса взят","","","","","","","","16712190","","0","0","0"
"101","529","0","0","Interface\TargetingFrame\UI-PVP-Alliance","Bases: %1779w  Resources: %1776w/%1780w","Bases: %1779w  Resources: %1776w/%1780w","Bases : %1779w  Ressources: %1776w/%1780w","Basen: %1779w  Ressourcen: %1776w/%1780w","","","Bases: %1779w  Recursos: %1776w/%1780w","Bases: %1779w  Recursos: %1776w/%1780w","Базы: %1779w Ресурсы: %1776w/%1780w","","","","","","","","16712190","Alliance status","Alliance status","Situation de l'Alliance","Status Allianz","","","Estado de la Alianza","Estado de la Alianza","Статистика Альянса","","","","","","","","16712190","0","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"102","529","0","0","Interface\TargetingFrame\UI-PVP-Horde","Bases: %1778w  Resources: %1777w/%1780w","Bases: %1778w  Resources: %1777w/%1780w","Bases : %1778w  Ressources: %1777w/%1780w","Basen: %1778w  Ressourcen: %1777w/%1780w","","","Bases: %1778w  Recursos: %1777w/%1780w","Bases: %1778w  Recursos: %1777w/%1780w","Базы: %1778w Ресурсы: %1777w/%1780w","","","","","","","","16712190","Horde status","Horde status","Situation de la Horde","Status Horde","","","Estado de la Horda","Estado de la Horda","Статистика Орды","","","","","","","","16712190","0","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"122","529","0","0","Interface\WorldStateFrame\ColumnIcon-TowerCapture","Bases Assaulted","Bases Assaulted","Bases attaquées","Eroberte Basen","","","Bases asaltadas","Bases asaltadas","Штурмы баз","","","","","","","","16712190","Number of times enemy base banners have been removed","Number of times enemy base banners have been removed","Nombre de fois où les bannières de la base ennemie ont été retirées","Anzahl der aus feindlichen Basen entwendeten Banner","","","Veces que se ha robado la bandera enemiga de la base","Veces que se ha robado la bandera enemiga de la base","Количество знамен противника, захваченных на базах","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"123","529","0","0","Interface\WorldStateFrame\ColumnIcon-TowerDefend","Bases Defended","Bases Defended","Bases défendues","Verteidigte Basen","","","Bases defendidas","Bases defendidas","Оборона баз","","","","","","","","16712190","Number of times a base capture has been prevented","Number of times a base capture has been prevented","Nombre de fois où la prise d'une base a été évitée","Anzahl der verhinderten Basisübernahmen","","","Veces que se ha evitado la captura de la base","Veces que se ha evitado la captura de la base","Количество предотвращенных попыток захвата базы","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"139","530","3483","0","","Progress: %2427w","Progress: %2427w","Progression : %2427w","Fortschritt: %2427w","","","Progreso: %2427w","Progreso: %2427w","Состояние: %2427w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2473","1","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","2474","2475","0"
"140","530","3483","0","Interface\WorldStateFrame\AllianceTower","Controlled: %2476w","Controlled: %2476w","Contrôlés : %2476w","Kontrolliert: %2476w","","","Bajo control: %2476w","Bajo control: %2476w","Под контролем: %2476w","","","","","","","","16712190","Alliance Forts Controlled","Alliance Forts Controlled","Forts contrôlés par l'Alliance","Kontrollierte Festungen der Allianz","","","Fuertes de la Alianza bajo control","Fuertes de la Alianza bajo control","Форты под контролем Альянса","","","","","","","","16712190","2490","1","","Last Winner: Alliance","Last Winner: Alliance","Dernier vainqueur : l'Alliance","Letzter Sieger: Allianz","","","Última victoria: Alianza","Última victoria: Alianza","Последний победитель: Альянс","","","","","","","","16712190","","0","0","0"
"141","530","3483","0","Interface\WorldStateFrame\HordeTower","Controlled: %2478w","Controlled: %2478w","Contrôlés : %2478w","Kontrolliert: %2478w","","","Bajo control: %2478w","Bajo control: %2478w","Под контролем: %2478w","","","","","","","","16712190","Horde Forts Controlled","Horde Forts Controlled","Forts contrôlés par la Horde","Kontrollierte Festungen der Horde","","","Fuertes de la Horda bajo control","Fuertes de la Horda bajo control","Форты под контролем Орды","","","","","","","","16712190","2489","1","","Last Winner: Horde","Last Winner: Horde","Dernier vainqueur : la Horde","Letzter Sieger: Horde","","","Última victoria: Horda","Última victoria: Horda","Последний победитель: Орда","","","","","","","","16712190","","0","0","0"
"144","530","3518","0","Interface\TargetingFrame\UI-PVP-Horde","Guards Remaining: %2491w/%2493w","Guards Remaining: %2491w/%2493w","Gardes restants : %2491w/%2493w","Verbleibende Wachen: %2491w/%2493w","","","Guardas restantes: %2491w/%2493w","Guardas restantes: %2491w/%2493w","Осталось cтражей: %2491w/%2493w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2503","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"145","530","3518","0","","Progress: %2494w","Progress: %2494w","Progrès : %2494w","Fortschritt: %2494w","","","Progreso: %2494w","Progreso: %2494w","Состояние: %2494w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2495","1","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","2494","2497","0"
"146","530","3518","0","Interface\TargetingFrame\UI-PVP-Alliance","Guards Remaining: %2491w/%2493w","Guards Remaining: %2491w/%2493w","Gardes restants : %2491w/%2493w","Verbleibende Wachen: %2491w/%2493w","","","Guardas restantes: %2491w/%2493w","Guardas restantes: %2491w/%2493w","Осталось cтражей: %2491w/%2493w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2502","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"163","530","3519","0","","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","2623","0","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","2625","2624","0"
"147","530","3519","0","Interface\WorldStateFrame\NeutralTower","Time Remaining - %2509w:%2512w%2510w","Time Remaining - %2509w:%2512w%2510w","Temps restant : %2509w:%2512w%2510w","Verbleibende Zeit - %2509w:%2512w%2510w","","","Tiempo restante - %2509w:%2512w%2510w","Tiempo restante - %2509w:%2512w%2510w","Оставшееся время: %2509w:%2512w%2510w","","","","","","","","16712190","Time remaining until the Spirit Towers become capturable.","Time remaining until the Spirit Towers become capturable.","Temps restant avant que la tour des esprits puisse être capturée.","Verbleibende Zeit, bis die Geistertürme wieder erobert werden können.","","","Tiempo restante hasta que las Torres Espíritu se puedan capturar.","Tiempo restante hasta que las Torres Espíritu se puedan capturar.","Время, спустя которое можно будет захватывать Башни Духов.","","","","","","","","16712190","2508","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"161","530","3519","0","Interface\WorldStateFrame\AllianceTower","Towers Controlled: %2621w","Towers Controlled: %2621w","Tours contrôlées : %2621w","Kontrollierte Türme: %2621w","","","Torres bajo control: %2621w","Torres bajo control: %2621w","Башен под контролем: %2621w","","","","","","","","16712190","Alliance Towers Controlled","Alliance Towers Controlled","Tours contrôlées par l'Alliance","Kontrollierte Türme der Allianz","","","Torres controladas por la Alianza","Torres controladas por la Alianza","Башни под контролем Альянса","","","","","","","","16712190","2620","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"162","530","3519","0","Interface\WorldStateFrame\HordeTower","Towers Controlled: %2622w","Towers Controlled: %2622w","Tours contrôlées : %2622w","Kontrollierte Türme: %2622w","","","Torres bajo control: %2622w","Torres bajo control: %2622w","Башен под контролем: %2622w","","","","","","","","16712190","Horde Towers Controlled","Horde Towers Controlled","Tours de la Horde contrôlées","Kontrollierte Türme der Horde","","","Torres controladas por la Horda","Torres controladas por la Horda","Башни под контролем Орды","","","","","","","","16712190","2620","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"168","530","3519","0","Interface\WorldStateFrame\AllianceTower","Time Remaining - %2509w:%2512w%2510w","Time Remaining - %2509w:%2512w%2510w","Temps restant - %2509w:%2512w%2510w","Verbleibende Zeit - %2509w:%2512w%2510w","","","Tiempo restante - %2509w:%2512w%2510w","Tiempo restante - %2509w:%2512w%2510w","Оставшееся время: %2509w:%2512w%2510w","","","","","","","","16712190","Time remaining until the Spirit Towers become capturable.","Time remaining until the Spirit Towers become capturable.","Temps restant avant que la tour des esprits puisse être capturée.","Verbleibende Zeit, bis die Geistertürme wieder erobert werden können.","","","Tiempo restante hasta que las Torres Espíritu se puedan capturar.","Tiempo restante hasta que las Torres Espíritu se puedan capturar.","Время, спустя которое можно будет захватывать Башни Духов.","","","","","","","","16712190","2767","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
